CleanName,INorEX,label,Method,replicateID,timepoint,nM
n_acetylglutamic_acid,EX,2A,AN,A,2,1.032515786
n_acetylglutamic_acid,EX,2B,AN,B,2,1.122656066
n_acetylglutamic_acid,EX,46B,AN,B,46,5.532574827
n_acetylglutamic_acid,EX,46A,AN,A,46,4.945417863
n_acetylglutamic_acid,EX,46C,AN,C,46,4.940983138
n_acetylglutamic_acid,EX,34B,AN,B,34,4.50315521
n_acetylglutamic_acid,EX,34A,AN,A,34,4.238020149
n_acetylglutamic_acid,EX,34C,AN,C,34,4.454601966
n_acetylglutamic_acid,EX,44B,AN,B,44,4.769481903
n_acetylglutamic_acid,EX,44A,AN,A,44,3.612900964
n_acetylglutamic_acid,EX,44C,AN,C,44,4.211200783
n_acetylglutamic_acid,EX,8C,AN,C,8,1.851022452
n_acetylglutamic_acid,EX,8B,AN,B,8,1.91667422
n_acetylglutamic_acid,EX,8A,AN,A,8,1.847048337
n_acetylglutamic_acid,EX,12B,AN,B,12,5.786444694
n_acetylglutamic_acid,EX,12A,AN,A,12,3.305740111
